,issue_year,issue_month,reduced_reason,count,month
1104,2016,Jul,Debt/Credit Issues,18167,July
1212,2017,Jul,Debt/Credit Issues,20824,July
1320,2018,Jul,Debt/Credit Issues,21389,July
22,2007,Jul,Home,3,July
114,2008,Jul,Home,7,July
235,2009,Jul,Home,32,July
366,2010,Jul,Home,52,July
498,2011,Jul,Home,162,July
630,2012,Jul,Home,267,July
762,2013,Jul,Home,694,July
888,2014,Jul,Home,1665,July
997,2015,Jul,Home,2817,July
1105,2016,Jul,Home,2485,July
1213,2017,Jul,Home,3090,July
1321,2018,Jul,Home,2690,July
115,2008,Jul,Major Purchase,1,July
236,2009,Jul,Major Purchase,7,July
367,2010,Jul,Major Purchase,17,July
499,2011,Jul,Major Purchase,29,July
631,2012,Jul,Major Purchase,56,July
763,2013,Jul,Major Purchase,115,July
889,2014,Jul,Major Purchase,433,July
998,2015,Jul,Major Purchase,730,July
1106,2016,Jul,Major Purchase,754,July
1214,2017,Jul,Major Purchase,926,July
1322,2018,Jul,Major Purchase,741,July
116,2008,Jul,Medical,2,July
237,2009,Jul,Medical,6,July
368,2010,Jul,Medical,9,July
500,2011,Jul,Medical,26,July
632,2012,Jul,Medical,63,July
764,2013,Jul,Medical,61,July
890,2014,Jul,Medical,265,July
999,2015,Jul,Medical,399,July
1107,2016,Jul,Medical,376,July
1215,2017,Jul,Medical,538,July
1323,2018,Jul,Medical,455,July
23,2007,Jul,Moving,1,July
117,2008,Jul,Moving,5,July
238,2009,Jul,Moving,2,July
369,2010,Jul,Moving,27,July
501,2011,Jul,Moving,25,July
633,2012,Jul,Moving,26,July
765,2013,Jul,Moving,80,July
891,2014,Jul,Moving,168,July
1000,2015,Jul,Moving,298,July
1108,2016,Jul,Moving,293,July
1216,2017,Jul,Moving,354,July
1324,2018,Jul,Moving,232,July
24,2007,Jul,Other,18,July
118,2008,Jul,Other,47,July
239,2009,Jul,Other,111,July
370,2010,Jul,Other,507,July
502,2011,Jul,Other,529,July
634,2012,Jul,Other,1040,July
766,2013,Jul,Other,2527,July
892,2014,Jul,Other,1169,July
1001,2015,Jul,Other,1828,July
1109,2016,Jul,Other,2281,July
1217,2017,Jul,Other,2600,July
1325,2018,Jul,Other,2148,July
25,2007,Jul,Student,5,July
119,2008,Jul,Student,8,July
240,2009,Jul,Student,20,July
371,2010,Jul,Student,11,July
503,2011,Jul,Student,10,July
635,2012,Jul,Student,16,July
767,2013,Jul,Student,35,July
241,2009,Jul,Vacation,1,July
372,2010,Jul,Vacation,3,July
504,2011,Jul,Vacation,15,July
636,2012,Jul,Vacation,35,July
768,2013,Jul,Vacation,59,July
893,2014,Jul,Vacation,174,July
1002,2015,Jul,Vacation,314,July
1110,2016,Jul,Vacation,323,July
1218,2017,Jul,Vacation,404,July
1326,2018,Jul,Vacation,296,July
26,2007,Jul,Wedding,1,July
120,2008,Jul,Wedding,6,July
242,2009,Jul,Wedding,18,July
373,2010,Jul,Wedding,35,July
505,2011,Jul,Wedding,53,July
637,2012,Jul,Wedding,92,July
769,2013,Jul,Wedding,116,July
0,2007,Aug,Business,1,August
68,2008,Aug,Business,6,August
189,2009,Aug,Business,12,August
319,2010,Aug,Business,10,August
451,2011,Aug,Business,57,August
583,2012,Aug,Business,97,August
715,2013,Aug,Business,89,August
846,2014,Aug,Business,152,August
957,2015,Aug,Business,270,August
1066,2016,Aug,Business,323,August
1174,2017,Aug,Business,441,August
1282,2018,Aug,Business,283,August
1,2007,Aug,Car,19,August
69,2008,Aug,Car,17,August
190,2009,Aug,Car,93,August
320,2010,Aug,Car,169,August
452,2011,Aug,Car,258,August
584,2012,Aug,Car,875,August
716,2013,Aug,Car,2032,August
847,2014,Aug,Car,3925,August
958,2015,Aug,Car,8866,August
1067,2016,Aug,Car,6588,August
1175,2017,Aug,Car,8548,August
1283,2018,Aug,Car,11593,August
2,2007,Aug,Debt/Credit Issues,9,August
70,2008,Aug,Debt/Credit Issues,14,August
191,2009,Aug,Debt/Credit Issues,128,August
321,2010,Aug,Debt/Credit Issues,322,August
453,2011,Aug,Debt/Credit Issues,689,August
585,2012,Aug,Debt/Credit Issues,2292,August
717,2013,Aug,Debt/Credit Issues,5732,August
848,2014,Aug,Debt/Credit Issues,11207,August
959,2015,Aug,Debt/Credit Issues,19533,August
1068,2016,Aug,Debt/Credit Issues,18589,August
1176,2017,Aug,Debt/Credit Issues,22812,August
1284,2018,Aug,Debt/Credit Issues,22164,August
3,2007,Aug,Home,4,August
71,2008,Aug,Home,4,August
192,2009,Aug,Home,19,August
322,2010,Aug,Home,69,August
454,2011,Aug,Home,124,August
586,2012,Aug,Home,288,August
718,2013,Aug,Home,694,August
849,2014,Aug,Home,1034,August
960,2015,Aug,Home,2082,August
1069,2016,Aug,Home,2433,August
1177,2017,Aug,Home,3280,August
1285,2018,Aug,Home,2823,August
72,2008,Aug,Major Purchase,2,August
193,2009,Aug,Major Purchase,10,August
323,2010,Aug,Major Purchase,9,August
455,2011,Aug,Major Purchase,32,August
587,2012,Aug,Major Purchase,60,August
719,2013,Aug,Major Purchase,114,August
850,2014,Aug,Major Purchase,323,August
961,2015,Aug,Major Purchase,632,August
1070,2016,Aug,Major Purchase,810,August
1178,2017,Aug,Major Purchase,1066,August
1286,2018,Aug,Major Purchase,757,August
73,2008,Aug,Medical,3,August
194,2009,Aug,Medical,5,August
324,2010,Aug,Medical,11,August
456,2011,Aug,Medical,23,August
588,2012,Aug,Medical,46,August
720,2013,Aug,Medical,110,August
851,2014,Aug,Medical,160,August
962,2015,Aug,Medical,291,August
1071,2016,Aug,Medical,338,August
1179,2017,Aug,Medical,618,August
1287,2018,Aug,Medical,416,August
4,2007,Aug,Moving,2,August
74,2008,Aug,Moving,3,August
195,2009,Aug,Moving,9,August
325,2010,Aug,Moving,16,August
457,2011,Aug,Moving,32,August
589,2012,Aug,Moving,41,August
721,2013,Aug,Moving,78,August
852,2014,Aug,Moving,129,August
963,2015,Aug,Moving,191,August
1072,2016,Aug,Moving,294,August
1180,2017,Aug,Moving,360,August
1288,2018,Aug,Moving,271,August
5,2007,Aug,Other,18,August
75,2008,Aug,Other,35,August
196,2009,Aug,Other,127,August
326,2010,Aug,Other,471,August
458,2011,Aug,Other,522,August
590,2012,Aug,Other,1260,August
722,2013,Aug,Other,2786,August
853,2014,Aug,Other,847,August
964,2015,Aug,Other,1483,August
1073,2016,Aug,Other,2398,August
1181,2017,Aug,Other,2952,August
1289,2018,Aug,Other,2321,August
6,2007,Aug,Student,9,August
76,2008,Aug,Student,9,August
197,2009,Aug,Student,16,August
327,2010,Aug,Student,9,August
459,2011,Aug,Student,11,August
591,2012,Aug,Student,14,August
723,2013,Aug,Student,46,August
7,2007,Aug,Vacation,1,August
77,2008,Aug,Vacation,1,August
198,2009,Aug,Vacation,2,August
328,2010,Aug,Vacation,7,August
460,2011,Aug,Vacation,16,August
592,2012,Aug,Vacation,27,August
724,2013,Aug,Vacation,57,August
854,2014,Aug,Vacation,100,August
965,2015,Aug,Vacation,178,August
1074,2016,Aug,Vacation,285,August
1182,2017,Aug,Vacation,427,August
1290,2018,Aug,Vacation,261,August
8,2007,Aug,Wedding,2,August
78,2008,Aug,Wedding,3,August
199,2009,Aug,Wedding,15,August
329,2010,Aug,Wedding,35,August
461,2011,Aug,Wedding,53,August
593,2012,Aug,Wedding,100,August
725,2013,Aug,Wedding,138,August
51,2007,Sep,Business,2,September
171,2008,Sep,Business,6,September
297,2009,Sep,Business,14,September
429,2010,Sep,Business,27,September
561,2011,Sep,Business,59,September
693,2012,Sep,Business,75,September
825,2013,Sep,Business,116,September
939,2014,Sep,Business,92,September
1048,2015,Sep,Business,226,September
1156,2016,Sep,Business,315,September
1264,2017,Sep,Business,424,September
1372,2018,Sep,Business,241,September
52,2007,Sep,Car,10,September
172,2008,Sep,Car,20,September
298,2009,Sep,Car,100,September
430,2010,Sep,Car,122,September
562,2011,Sep,Car,268,September
694,2012,Sep,Car,1009,September
826,2013,Sep,Car,2220,September
940,2014,Sep,Car,2436,September
1049,2015,Sep,Car,6927,September
1157,2016,Sep,Car,5059,September
1265,2017,Sep,Car,7258,September
1373,2018,Sep,Car,9804,September
53,2007,Sep,Debt/Credit Issues,14,September
173,2008,Sep,Debt/Credit Issues,10,September
299,2009,Sep,Debt/Credit Issues,129,September
431,2010,Sep,Debt/Credit Issues,318,September
563,2011,Sep,Debt/Credit Issues,762,September
695,2012,Sep,Debt/Credit Issues,2698,September
827,2013,Sep,Debt/Credit Issues,6043,September
941,2014,Sep,Debt/Credit Issues,5950,September
1050,2015,Sep,Debt/Credit Issues,15796,September
1158,2016,Sep,Debt/Credit Issues,14448,September
1266,2017,Sep,Debt/Credit Issues,20857,September
1374,2018,Sep,Debt/Credit Issues,18926,September
54,2007,Sep,Home,2,September
174,2008,Sep,Home,2,September
300,2009,Sep,Home,34,September
432,2010,Sep,Home,79,September
564,2011,Sep,Home,137,September
696,2012,Sep,Home,303,September
828,2013,Sep,Home,690,September
942,2014,Sep,Home,617,September
1051,2015,Sep,Home,1832,September
1159,2016,Sep,Home,2021,September
1267,2017,Sep,Home,3142,September
1375,2018,Sep,Home,2145,September
55,2007,Sep,Major Purchase,1,September
301,2009,Sep,Major Purchase,11,September
433,2010,Sep,Major Purchase,12,September
565,2011,Sep,Major Purchase,40,September
697,2012,Sep,Major Purchase,56,September
829,2013,Sep,Major Purchase,93,September
943,2014,Sep,Major Purchase,196,September
1052,2015,Sep,Major Purchase,503,September
1160,2016,Sep,Major Purchase,674,September
1268,2017,Sep,Major Purchase,925,September
1376,2018,Sep,Major Purchase,591,September
302,2009,Sep,Medical,3,September
434,2010,Sep,Medical,17,September
566,2011,Sep,Medical,38,September
698,2012,Sep,Medical,67,September
830,2013,Sep,Medical,82,September
944,2014,Sep,Medical,121,September
1053,2015,Sep,Medical,251,September
1161,2016,Sep,Medical,352,September
1269,2017,Sep,Medical,570,September
1377,2018,Sep,Medical,328,September
303,2009,Sep,Moving,10,September
435,2010,Sep,Moving,21,September
567,2011,Sep,Moving,20,September
699,2012,Sep,Moving,44,September
831,2013,Sep,Moving,83,September
945,2014,Sep,Moving,84,September
1054,2015,Sep,Moving,159,September
1162,2016,Sep,Moving,229,September
1270,2017,Sep,Moving,304,September
1378,2018,Sep,Moving,203,September
56,2007,Sep,Other,17,September
175,2008,Sep,Other,12,September
304,2009,Sep,Other,162,September
436,2010,Sep,Other,475,September
568,2011,Sep,Other,533,September
700,2012,Sep,Other,1367,September
832,2013,Sep,Other,2727,September
946,2014,Sep,Other,526,September
1055,2015,Sep,Other,1229,September
1163,2016,Sep,Other,1904,September
1271,2017,Sep,Other,2735,September
1379,2018,Sep,Other,1677,September
57,2007,Sep,Student,3,September
176,2008,Sep,Student,1,September
305,2009,Sep,Student,17,September
437,2010,Sep,Student,13,September
569,2011,Sep,Student,6,September
701,2012,Sep,Student,19,September
833,2013,Sep,Student,35,September
306,2009,Sep,Vacation,3,September
438,2010,Sep,Vacation,6,September
570,2011,Sep,Vacation,11,September
702,2012,Sep,Vacation,31,September
834,2013,Sep,Vacation,57,September
947,2014,Sep,Vacation,49,September
1056,2015,Sep,Vacation,126,September
1164,2016,Sep,Vacation,189,September
1272,2017,Sep,Vacation,270,September
1380,2018,Sep,Vacation,190,September
177,2008,Sep,Wedding,3,September
307,2009,Sep,Wedding,12,September
439,2010,Sep,Wedding,33,September
571,2011,Sep,Wedding,61,September
703,2012,Sep,Wedding,102,September
835,2013,Sep,Wedding,114,September
43,2007,Oct,Business,6,October
162,2008,Oct,Business,3,October
286,2009,Oct,Business,10,October
418,2010,Oct,Business,14,October
550,2011,Oct,Business,60,October
682,2012,Oct,Business,80,October
814,2013,Oct,Business,85,October
930,2014,Oct,Business,323,October
1039,2015,Oct,Business,351,October
1147,2016,Oct,Business,351,October
1255,2017,Oct,Business,424,October
1363,2018,Oct,Business,214,October
44,2007,Oct,Car,18,October
163,2008,Oct,Car,21,October
287,2009,Oct,Car,70,October
419,2010,Oct,Car,155,October
551,2011,Oct,Car,300,October
683,2012,Oct,Car,990,October
815,2013,Oct,Car,2467,October
931,2014,Oct,Car,8526,October
1040,2015,Oct,Car,12040,October
1148,2016,Oct,Car,6281,October
1256,2017,Oct,Car,7482,October
1364,2018,Oct,Car,11166,October
45,2007,Oct,Debt/Credit Issues,15,October
164,2008,Oct,Debt/Credit Issues,25,October
288,2009,Oct,Debt/Credit Issues,137,October
420,2010,Oct,Debt/Credit Issues,384,October
552,2011,Oct,Debt/Credit Issues,772,October
684,2012,Oct,Debt/Credit Issues,2830,October
816,2013,Oct,Debt/Credit Issues,6550,October
932,2014,Oct,Debt/Credit Issues,23142,October
1041,2015,Oct,Debt/Credit Issues,26480,October
1149,2016,Oct,Debt/Credit Issues,17771,October
1257,2017,Oct,Debt/Credit Issues,19103,October
1365,2018,Oct,Debt/Credit Issues,21523,October
46,2007,Oct,Home,2,October
165,2008,Oct,Home,4,October
289,2009,Oct,Home,46,October
421,2010,Oct,Home,73,October
553,2011,Oct,Home,141,October
685,2012,Oct,Home,274,October
817,2013,Oct,Home,684,October
933,2014,Oct,Home,1850,October
1042,2015,Oct,Home,3041,October
1150,2016,Oct,Home,2469,October
1258,2017,Oct,Home,3112,October
1366,2018,Oct,Home,2532,October
166,2008,Oct,Major Purchase,4,October
290,2009,Oct,Major Purchase,6,October
422,2010,Oct,Major Purchase,12,October
554,2011,Oct,Major Purchase,30,October
686,2012,Oct,Major Purchase,56,October
818,2013,Oct,Major Purchase,93,October
934,2014,Oct,Major Purchase,543,October
1043,2015,Oct,Major Purchase,804,October
1151,2016,Oct,Major Purchase,739,October
1259,2017,Oct,Major Purchase,867,October
1367,2018,Oct,Major Purchase,658,October
291,2009,Oct,Medical,8,October
423,2010,Oct,Medical,10,October
555,2011,Oct,Medical,32,October
687,2012,Oct,Medical,61,October
819,2013,Oct,Medical,91,October
935,2014,Oct,Medical,322,October
1044,2015,Oct,Medical,464,October
1152,2016,Oct,Medical,434,October
1260,2017,Oct,Medical,573,October
1368,2018,Oct,Medical,410,October
47,2007,Oct,Moving,1,October
292,2009,Oct,Moving,7,October
424,2010,Oct,Moving,14,October
556,2011,Oct,Moving,21,October
688,2012,Oct,Moving,46,October
820,2013,Oct,Moving,65,October
936,2014,Oct,Moving,236,October
1045,2015,Oct,Moving,228,October
1153,2016,Oct,Moving,251,October
1261,2017,Oct,Moving,264,October
1369,2018,Oct,Moving,207,October
48,2007,Oct,Other,47,October
167,2008,Oct,Other,49,October
293,2009,Oct,Other,245,October
425,2010,Oct,Other,430,October
557,2011,Oct,Other,534,October
689,2012,Oct,Other,1430,October
821,2013,Oct,Other,3000,October
937,2014,Oct,Other,1615,October
1046,2015,Oct,Other,2072,October
1154,2016,Oct,Other,2193,October
1262,2017,Oct,Other,3057,October
1370,2018,Oct,Other,2000,October
49,2007,Oct,Student,8,October
168,2008,Oct,Student,6,October
294,2009,Oct,Student,19,October
426,2010,Oct,Student,7,October
558,2011,Oct,Student,8,October
690,2012,Oct,Student,20,October
822,2013,Oct,Student,29,October
169,2008,Oct,Vacation,1,October
295,2009,Oct,Vacation,2,October
427,2010,Oct,Vacation,8,October
559,2011,Oct,Vacation,14,October
691,2012,Oct,Vacation,38,October
823,2013,Oct,Vacation,46,October
938,2014,Oct,Vacation,147,October
1047,2015,Oct,Vacation,203,October
1155,2016,Oct,Vacation,218,October
1263,2017,Oct,Vacation,240,October
1371,2018,Oct,Vacation,225,October
50,2007,Oct,Wedding,2,October
170,2008,Oct,Wedding,4,October
296,2009,Oct,Wedding,13,October
428,2010,Oct,Wedding,38,October
560,2011,Oct,Wedding,48,October
692,2012,Oct,Wedding,74,October
824,2013,Oct,Wedding,76,October
35,2007,Nov,Business,8,November
152,2008,Nov,Business,14,November
275,2009,Nov,Business,9,November
407,2010,Nov,Business,20,November
539,2011,Nov,Business,54,November
671,2012,Nov,Business,77,November
803,2013,Nov,Business,99,November
921,2014,Nov,Business,216,November
1030,2015,Nov,Business,275,November
1138,2016,Nov,Business,340,November
1246,2017,Nov,Business,513,November
1354,2018,Nov,Business,196,November
36,2007,Nov,Car,15,November
153,2008,Nov,Car,39,November
276,2009,Nov,Car,56,November
408,2010,Nov,Car,166,November
540,2011,Nov,Car,344,November
672,2012,Nov,Car,1025,November
804,2013,Nov,Car,2861,November
922,2014,Nov,Car,5463,November
1031,2015,Nov,Car,9130,November
1139,2016,Nov,Car,6926,November
1247,2017,Nov,Car,9012,November
1355,2018,Nov,Car,10147,November
37,2007,Nov,Debt/Credit Issues,22,November
154,2008,Nov,Debt/Credit Issues,42,November
277,2009,Nov,Debt/Credit Issues,155,November
409,2010,Nov,Debt/Credit Issues,333,November
541,2011,Nov,Debt/Credit Issues,833,November
673,2012,Nov,Debt/Credit Issues,2897,November
805,2013,Nov,Debt/Credit Issues,6735,November
923,2014,Nov,Debt/Credit Issues,14818,November
1032,2015,Nov,Debt/Credit Issues,20172,November
1140,2016,Nov,Debt/Credit Issues,18861,November
1248,2017,Nov,Debt/Credit Issues,20353,November
1356,2018,Nov,Debt/Credit Issues,19375,November
38,2007,Nov,Home,6,November
155,2008,Nov,Home,14,November
278,2009,Nov,Home,39,November
410,2010,Nov,Home,78,November
542,2011,Nov,Home,125,November
674,2012,Nov,Home,284,November
806,2013,Nov,Home,615,November
924,2014,Nov,Home,1239,November
1033,2015,Nov,Home,2398,November
1141,2016,Nov,Home,2328,November
1249,2017,Nov,Home,3305,November
1357,2018,Nov,Home,2147,November
156,2008,Nov,Major Purchase,6,November
279,2009,Nov,Major Purchase,10,November
411,2010,Nov,Major Purchase,23,November
543,2011,Nov,Major Purchase,20,November
675,2012,Nov,Major Purchase,52,November
807,2013,Nov,Major Purchase,97,November
925,2014,Nov,Major Purchase,352,November
1034,2015,Nov,Major Purchase,694,November
1142,2016,Nov,Major Purchase,723,November
1250,2017,Nov,Major Purchase,994,November
1358,2018,Nov,Major Purchase,638,November
39,2007,Nov,Medical,2,November
157,2008,Nov,Medical,1,November
280,2009,Nov,Medical,2,November
412,2010,Nov,Medical,15,November
544,2011,Nov,Medical,33,November
676,2012,Nov,Medical,67,November
808,2013,Nov,Medical,106,November
926,2014,Nov,Medical,212,November
1035,2015,Nov,Medical,376,November
1143,2016,Nov,Medical,447,November
1251,2017,Nov,Medical,585,November
1359,2018,Nov,Medical,410,November
158,2008,Nov,Moving,5,November
281,2009,Nov,Moving,8,November
413,2010,Nov,Moving,11,November
545,2011,Nov,Moving,17,November
677,2012,Nov,Moving,33,November
809,2013,Nov,Moving,67,November
927,2014,Nov,Moving,115,November
1036,2015,Nov,Moving,197,November
1144,2016,Nov,Moving,225,November
1252,2017,Nov,Moving,288,November
1360,2018,Nov,Moving,164,November
40,2007,Nov,Other,36,November
159,2008,Nov,Other,61,November
282,2009,Nov,Other,271,November
414,2010,Nov,Other,466,November
546,2011,Nov,Other,558,November
678,2012,Nov,Other,1417,November
810,2013,Nov,Other,3033,November
928,2014,Nov,Other,1113,November
1037,2015,Nov,Other,1777,November
1145,2016,Nov,Other,2220,November
1253,2017,Nov,Other,3428,November
1361,2018,Nov,Other,1868,November
41,2007,Nov,Student,9,November
160,2008,Nov,Student,13,November
283,2009,Nov,Student,21,November
415,2010,Nov,Student,9,November
547,2011,Nov,Student,8,November
679,2012,Nov,Student,29,November
811,2013,Nov,Student,38,November
284,2009,Nov,Vacation,2,November
416,2010,Nov,Vacation,3,November
548,2011,Nov,Vacation,10,November
680,2012,Nov,Vacation,26,November
812,2013,Nov,Vacation,53,November
929,2014,Nov,Vacation,111,November
1038,2015,Nov,Vacation,166,November
1146,2016,Nov,Vacation,218,November
1254,2017,Nov,Vacation,268,November
1362,2018,Nov,Vacation,215,November
42,2007,Nov,Wedding,4,November
161,2008,Nov,Wedding,5,November
285,2009,Nov,Wedding,19,November
417,2010,Nov,Wedding,35,November
549,2011,Nov,Wedding,56,November
681,2012,Nov,Wedding,86,November
813,2013,Nov,Wedding,58,November
9,2007,Dec,Business,6,December
79,2008,Dec,Business,10,December
200,2009,Dec,Business,10,December
330,2010,Dec,Business,21,December
462,2011,Dec,Business,56,December
594,2012,Dec,Business,59,December
726,2013,Dec,Business,120,December
855,2014,Dec,Business,110,December
966,2015,Dec,Business,452,December
1075,2016,Dec,Business,487,December
1183,2017,Dec,Business,515,December
1291,2018,Dec,Business,211,December
10,2007,Dec,Car,21,December
80,2008,Dec,Car,41,December
201,2009,Dec,Car,65,December
331,2010,Dec,Car,177,December
463,2011,Dec,Car,442,December
595,2012,Dec,Car,997,December
727,2013,Dec,Car,2924,December
856,2014,Dec,Car,2339,December
967,2015,Dec,Car,10743,December
1076,2016,Dec,Car,7029,December
1184,2017,Dec,Car,8101,December
1292,2018,Dec,Car,9227,December
11,2007,Dec,Debt/Credit Issues,34,December
81,2008,Dec,Debt/Credit Issues,70,December
202,2009,Dec,Debt/Credit Issues,171,December
332,2010,Dec,Debt/Credit Issues,368,December
464,2011,Dec,Debt/Credit Issues,926,December
596,2012,Dec,Debt/Credit Issues,2840,December
728,2013,Dec,Debt/Credit Issues,6880,December
857,2014,Dec,Debt/Credit Issues,5659,December
968,2015,Dec,Debt/Credit Issues,23520,December
1077,2016,Dec,Debt/Credit Issues,19147,December
1185,2017,Dec,Debt/Credit Issues,17913,December
1293,2018,Dec,Debt/Credit Issues,18487,December
12,2007,Dec,Home,9,December
82,2008,Dec,Home,11,December
203,2009,Dec,Home,34,December
333,2010,Dec,Home,70,December
465,2011,Dec,Home,85,December
597,2012,Dec,Home,275,December
729,2013,Dec,Home,636,December
858,2014,Dec,Home,575,December
969,2015,Dec,Home,2581,December
1078,2016,Dec,Home,2429,December
1186,2017,Dec,Home,2717,December
1294,2018,Dec,Home,2085,December
13,2007,Dec,Major Purchase,3,December
83,2008,Dec,Major Purchase,8,December
204,2009,Dec,Major Purchase,1,December
334,2010,Dec,Major Purchase,18,December
466,2011,Dec,Major Purchase,19,December
598,2012,Dec,Major Purchase,43,December
730,2013,Dec,Major Purchase,119,December
859,2014,Dec,Major Purchase,224,December
970,2015,Dec,Major Purchase,867,December
1079,2016,Dec,Major Purchase,839,December
1187,2017,Dec,Major Purchase,1126,December
1295,2018,Dec,Major Purchase,598,December
14,2007,Dec,Medical,4,December
84,2008,Dec,Medical,1,December
205,2009,Dec,Medical,4,December
335,2010,Dec,Medical,27,December
467,2011,Dec,Medical,25,December
599,2012,Dec,Medical,43,December
731,2013,Dec,Medical,134,December
860,2014,Dec,Medical,115,December
971,2015,Dec,Medical,471,December
1080,2016,Dec,Medical,449,December
1188,2017,Dec,Medical,566,December
1296,2018,Dec,Medical,378,December
15,2007,Dec,Moving,3,December
85,2008,Dec,Moving,3,December
206,2009,Dec,Moving,3,December
336,2010,Dec,Moving,5,December
468,2011,Dec,Moving,19,December
600,2012,Dec,Moving,38,December
732,2013,Dec,Moving,69,December
861,2014,Dec,Moving,70,December
972,2015,Dec,Moving,236,December
1081,2016,Dec,Moving,246,December
1189,2017,Dec,Moving,266,December
1297,2018,Dec,Moving,185,December
16,2007,Dec,Other,72,December
86,2008,Dec,Other,89,December
207,2009,Dec,Other,245,December
337,2010,Dec,Other,487,December
469,2011,Dec,Other,521,December
601,2012,Dec,Other,1310,December
733,2013,Dec,Other,2876,December
862,2014,Dec,Other,572,December
973,2015,Dec,Other,2301,December
1082,2016,Dec,Other,2474,December
1190,2017,Dec,Other,3395,December
1298,2018,Dec,Other,1929,December
17,2007,Dec,Student,5,December
87,2008,Dec,Student,6,December
208,2009,Dec,Student,21,December
338,2010,Dec,Student,4,December
470,2011,Dec,Student,2,December
602,2012,Dec,Student,14,December
734,2013,Dec,Student,46,December
209,2009,Dec,Vacation,2,December
339,2010,Dec,Vacation,16,December
471,2011,Dec,Vacation,12,December
603,2012,Dec,Vacation,18,December
735,2013,Dec,Vacation,55,December
863,2014,Dec,Vacation,58,December
974,2015,Dec,Vacation,224,December
1083,2016,Dec,Vacation,317,December
1191,2017,Dec,Vacation,286,December
1299,2018,Dec,Vacation,249,December
18,2007,Dec,Wedding,5,December
88,2008,Dec,Wedding,6,December
210,2009,Dec,Wedding,15,December
340,2010,Dec,Wedding,46,December
472,2011,Dec,Wedding,26,December
604,2012,Dec,Wedding,61,December
736,2013,Dec,Wedding,64,December
